"0640946","北海道","札幌市　中央区","双子山","HOKKAIDO","SAPPORO SHI CHUO KU","FUTAGOYAMA"
"0640944","北海道","札幌市　中央区","円山西町","HOKKAIDO","SAPPORO SHI CHUO KU","MARUYAMANISHIMACHI"
"0600051","北海道","札幌市　中央区","南一条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI1-JOHIGASHI"
"0600061","北海道","札幌市　中央区","南一条西（１〜１９丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI1-JONISHI(1-19-CHOME)"
"0640801","北海道","札幌市　中央区","南一条西（２０〜２８丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI1-JONISHI(20-28-CHOME)"
"0600052","北海道","札幌市　中央区","南二条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI2-JOHIGASHI"
"0600062","北海道","札幌市　中央区","南二条西（１〜１９丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI2-JONISHI(1-19-CHOME)"
"0640802","北海道","札幌市　中央区","南二条西（２０〜２８丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI2-JONISHI(20-28-CHOME)"
"0600053","北海道","札幌市　中央区","南三条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI3-JOHIGASHI"
"0600063","北海道","札幌市　中央区","南三条西（１〜１８丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI3-JONISHI(1-18-CHOME)"
"0640803","北海道","札幌市　中央区","南三条西（２０〜２８丁目）","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI3-JONISHI(20-28-CHOME)"
"0600054","北海道","札幌市　中央区","南四条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI4-JOHIGASHI"
"0640804","北海道","札幌市　中央区","南四条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI4-JONISHI"
"0600055","北海道","札幌市　中央区","南五条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI5-JOHIGASHI"
"0640805","北海道","札幌市　中央区","南五条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI5-JONISHI"
"0600056","北海道","札幌市　中央区","南六条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI6-JOHIGASHI"
"0640806","北海道","札幌市　中央区","南六条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI6-JONISHI"
"0600057","北海道","札幌市　中央区","南七条東","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI7-JOHIGASHI"
"0640807","北海道","札幌市　中央区","南七条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI7-JONISHI"
"0640808","北海道","札幌市　中央区","南八条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI8-JONISHI"
"0640809","北海道","札幌市　中央区","南九条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI9-JONISHI"
"0640810","北海道","札幌市　中央区","南十条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI10-JONISHI"
"0640811","北海道","札幌市　中央区","南十一条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI11-JONISHI"
"0640912","北海道","札幌市　中央区","南十二条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI12-JONISHI"
"0640913","北海道","札幌市　中央区","南十三条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI13-JONISHI"
"0640914","北海道","札幌市　中央区","南十四条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI14-JONISHI"
"0640915","北海道","札幌市　中央区","南十五条西","HOKKAIDO","SAPPORO SHI CHUO KU","MINAMI15-JONISHI"
