,郵便番号,full_name,緯度,経度
105,9070001,沖縄県石垣市大浜,24.330858,124.14501
106,9070453,沖縄県石垣市川平,24.330858,124.14501
107,9070452,沖縄県石垣市崎枝,24.330858,124.14501
108,9070242,沖縄県石垣市白保,24.330858,124.14501
109,9070014,沖縄県石垣市新栄町,24.346218,124.148903
110,9070241,沖縄県石垣市桃里,24.330858,124.14501
111,9070004,沖縄県石垣市登野城,24.330858,124.14501
112,9070031,沖縄県石垣市登野城尖閣,24.330858,124.14501
113,9070021,沖縄県石垣市名蔵,24.330858,124.14501
114,9070333,沖縄県石垣市野底,24.330858,124.14501
115,9070015,沖縄県石垣市南ぬ浜町,24.330858,124.14501
116,9070013,沖縄県石垣市浜崎町,24.33937,124.152078
117,9070003,沖縄県石垣市平得,24.330858,124.14501
118,9070331,沖縄県石垣市平久保,24.330858,124.14501
119,9070451,沖縄県石垣市桴海,24.330858,124.14501
120,9070002,沖縄県石垣市真栄里,24.330858,124.14501
121,9070012,沖縄県石垣市美崎町,24.339368,124.155463
122,9070243,沖縄県石垣市宮良,24.330858,124.14501
123,9070244,沖縄県石垣市盛山,24.330858,124.14501
124,9070011,沖縄県石垣市八島町,24.335069,124.158257
125,9012100,沖縄県浦添市以下に掲載がない場合,26.260212,127.695944
126,9012114,沖縄県浦添市安波茶,26.244151,127.721722
127,9012132,沖縄県浦添市伊祖,26.254867,127.7225
128,9012128,沖縄県浦添市伊奈武瀬,26.248315,127.671968
129,9012123,沖縄県浦添市西洲,26.260212,127.695944
130,9012121,沖縄県浦添市内間,26.235822,127.705764
131,9012113,沖縄県浦添市大平,26.244912,127.71506
132,9012111,沖縄県浦添市経塚,26.241877,127.723106
133,9012133,沖縄県浦添市城間,26.25337,127.712384
134,9012124,沖縄県浦添市小湾,26.260212,127.695944
135,9012122,沖縄県浦添市勢理客,26.241592,127.697881
136,9012112,沖縄県浦添市沢岻,26.236192,127.712397
137,9012104,沖縄県浦添市当山,26.251305,127.735033
138,9012103,沖縄県浦添市仲間,26.249871,127.728313
139,9012125,沖縄県浦添市仲西,26.246514,127.699985
140,9012101,沖縄県浦添市西原,26.254216,127.746972
141,9012102,沖縄県浦添市前田,26.236685,127.735398
142,9012131,沖縄県浦添市牧港,26.263792,127.721392
143,9012134,沖縄県浦添市港川,26.260924,127.719297
144,9012126,沖縄県浦添市宮城,26.250652,127.704346
145,9012127,沖縄県浦添市屋富祖,26.254045,127.707631
146,9050000,沖縄県名護市以下に掲載がない場合,26.603581,127.962329
147,9050021,沖縄県名護市東江,26.586579,127.990737
148,9050003,沖縄県名護市旭川,26.603581,127.962329
149,9052263,沖縄県名護市安部,26.603581,127.962329
150,9050001,沖縄県名護市安和,26.603581,127.962329
151,9051152,沖縄県名護市伊差川,26.603581,127.962329
152,9051142,沖縄県名護市稲嶺,26.603581,127.962329
153,9050006,沖縄県名護市宇茂佐,26.603581,127.962329
154,9050009,沖縄県名護市宇茂佐の森,26.603581,127.962329
155,9051634,沖縄県名護市運天原,26.603581,127.962329
156,9052267,沖縄県名護市大浦,26.604597,127.995911
157,9052268,沖縄県名護市大川,26.604597,127.995911
158,9050019,沖縄県名護市大北,26.604597,127.995911
159,9050017,沖縄県名護市大中,26.597126,127.989078
160,9050018,沖縄県名護市大西,26.596871,127.982561
161,9050016,沖縄県名護市大東,26.594293,127.992186
162,9050015,沖縄県名護市大南,26.593657,127.976
