,郵便番号,full_name,緯度,経度
93,0028074,北海道札幌市北区あいの里四条,43.169536,141.413687
94,0028075,北海道札幌市北区あいの里五条,43.170298,141.393498
95,0010045,北海道札幌市北区麻生町,43.107768,141.34316
96,0600806,北海道札幌市北区北六条西,43.069102,141.354132
97,0600807,北海道札幌市北区北七条西,43.067741,141.339818
98,0600808,北海道札幌市北区北八条西,43.069382,141.33939
99,0600809,北海道札幌市北区北九条西,43.070541,141.339138
100,0010010,北海道札幌市北区北十条西（１〜４丁目）,43.071676,141.338853
101,0600810,北海道札幌市北区北十条西（５〜１１丁目）,43.071676,141.338853
102,0010011,北海道札幌市北区北十一条西（１〜４丁目）,43.072839,141.338549
103,0600811,北海道札幌市北区北十一条西（５〜１１丁目）,43.072839,141.338549
104,0010012,北海道札幌市北区北十二条西（１〜４丁目）,43.074012,141.338237
105,0600812,北海道札幌市北区北十二条西（５〜１２丁目）,43.074012,141.338237
106,0010013,北海道札幌市北区北十三条西（１〜４丁目）,43.07516,141.33794
107,0600813,北海道札幌市北区北十三条西（５〜１２丁目）,43.07516,141.33794
108,0010014,北海道札幌市北区北十四条西（１〜４丁目）,43.076349,141.337636
109,0600814,北海道札幌市北区北十四条西（５〜１３丁目）,43.076349,141.337636
110,0010015,北海道札幌市北区北十五条西（１〜５丁目）,43.077523,141.337335
111,0600815,北海道札幌市北区北十五条西（６〜１３丁目）,43.077523,141.337335
112,0010016,北海道札幌市北区北十六条西（１〜６丁目）,43.078647,141.33705
113,0600816,北海道札幌市北区北十六条西（７〜１３丁目）,43.078647,141.33705
114,0010017,北海道札幌市北区北十七条西（１〜６丁目）,43.079802,141.336761
115,0600817,北海道札幌市北区北十七条西（７〜１３丁目）,43.079802,141.336761
116,0010018,北海道札幌市北区北十八条西（１〜７丁目）,43.081061,141.336441
117,0600818,北海道札幌市北区北十八条西（８〜１３丁目）,43.081061,141.336441
118,0010019,北海道札幌市北区北十九条西（２〜７丁目）,43.082414,141.33611
119,0600819,北海道札幌市北区北十九条西（８〜１３丁目）,43.082414,141.33611
120,0010020,北海道札幌市北区北二十条西（２〜１０丁目）,43.083842,141.335756
121,0600820,北海道札幌市北区北二十条西（１１〜１３丁目）,43.083842,141.335756
122,0010021,北海道札幌市北区北二十一条西,43.085203,141.335391
123,0010022,北海道札幌市北区北二十二条西,43.086545,141.335055
124,0010023,北海道札幌市北区北二十三条西,43.088212,141.33465
125,0010024,北海道札幌市北区北二十四条西,43.089735,141.334547
126,0010025,北海道札幌市北区北二十五条西,43.091551,141.333445
127,0010026,北海道札幌市北区北二十六条西,43.091907,141.330434
128,0010027,北海道札幌市北区北二十七条西,43.093211,141.333391
129,0010028,北海道札幌市北区北二十八条西,43.094723,141.332641
130,0010029,北海道札幌市北区北二十九条西,43.095581,141.333379
131,0010030,北海道札幌市北区北三十条西,43.097052,141.332634
132,0010031,北海道札幌市北区北三十一条西,43.098048,141.333335
133,0010032,北海道札幌市北区北三十二条西,43.099451,141.332764
134,0010033,北海道札幌市北区北三十三条西,43.101029,141.332262
135,0010034,北海道札幌市北区北三十四条西,43.103121,141.332137
136,0010035,北海道札幌市北区北三十五条西,43.10501,141.331883
137,0010036,北海道札幌市北区北三十六条西,43.105952,141.33267
138,0010037,北海道札幌市北区北三十七条西,43.105017,141.343979
139,0010038,北海道札幌市北区北三十八条西,43.106367,141.342888
140,0010039,北海道札幌市北区北三十九条西,43.107241,141.341137
141,0010040,北海道札幌市北区北四十条西,43.108336,141.339158
142,0028021,北海道札幌市北区篠路一条,43.137547,141.370506
143,0028022,北海道札幌市北区篠路二条,43.14095,141.37292
144,0028023,北海道札幌市北区篠路三条,43.142653,141.37422
145,0028024,北海道札幌市北区篠路四条,43.145585,141.374708
