大通西（１〜１９丁目）
常盤（１〜１３１番地）
西十九条南（３５〜３８、４１、４２丁目）
美栄町（西５〜８線７９〜１１０番地）
留萌原野（１〜１２線）
美富（１２７〜１５１、１８３〜５７９番地）
東洋（油駒、南東洋、１３２〜１５６、１５８〜３５４、３６６、３６７番地）
士幌西（１条〜３条）
川井（第９地割〜第１１地割）
箱石（第２地割「７０〜１３６」〜第４地割「３〜１１」）
葛巻（第４０地割「５７番地１２５、１７６を除く」〜第４５地割）
越中畑６４地割〜越中畑６６地割
種市第１５地割〜第２１地割（鹿糠、小路合、緑町、大久保、高取）
円田（釜沢、善舞森、土浮谷地、土浮山２〜５番地）
中嶋（１−９７〜１１６）
十日町（猫屋敷３２９〜３５６）
左沢（１５１８−３、１７５０−１〜２２２８−１８、２２５５−１〜２２５７−２８、２３１６〜２３１８、２４３０−１〜２４３１−７５）
川ノ内（２〜１２８番地、４１９〜６１４番地、１７１７番地、三滝、春木）
藤原（１０４７〜１２６８及び下平）
大前（細原２２５９〜）
西早稲田（２丁目１番１〜２３号、２番）
江戸川（１〜３丁目、４丁目１〜１４番）
頸城区西福島（１〜２２５、２２７〜２８８、１０６０番地）
大豆（１の２、３の２〜６、４の２・４・６、１１の１番地）
宇奈月町音澤（１０００〜）
宇奈月町音澤（１〜９９９）
塩山牛奥（５５３２〜５５５０、奥野田開拓、嵯峨塩開拓、嵯峨塩温泉）
小菅村の次に１〜６６３番地がくる場合
島内（９８２０、９８２１、９８２３〜９８３０、９８６４番地以上）
仁礼町（３１５３−１〜３１５３−１１００「峰の原」）
茂田井（１〜５００「２１１番地を除く」「古町」、２５２７〜２５２９「土遠」）
落合（３０６０、３６００〜４６００番地）
相生（５１３３番地２〜５１８７番地、５３１６番地１〜５３１６番地１６７）
萩原台西（１、２丁目、３丁目１番〜２８２番）
中ノ川町（１０６〜３０５、４０５−３、６３８）
菩提山町（１７３〜２５７番地「鉢伏峠」）
琴平町の次に１〜４２６番地がくる場合（川東）
鶴見（１〜１８組）
前津江町柚木（１〜８００番地、千蔵木、塔ノ本、仁田原、本村）
	
